Metro_area,Robots_2015,lat,lon
"Muskegon, MI",318,43.2341813,-86.2483921
"Lincoln, NE",313,40.8,-96.667821
"St. Cloud, MN",309,45.5616075,-94.1642004
"Boulder, CO",300,40.0149856,-105.2705456
"Auburn-Opelika, AL",298,32.728672,-85.3922533293581
"Anniston-Oxford-Jacksonville, AL",293,33.8137163,-85.7613476
"Huntington-Ashland, WV-KY-OH",279,40.2253569,-82.6881395
"Springfield, MO",277,37.2166779,-93.2920373
"Waco, TX",271,31.549333,-97.1466695
"Midland, MI",270,43.6155825,-84.2472117
"Erie, PA",269,42.1294712,-80.0852695
"Albany-Schenectady-Troy, NY",260,42.7284117,-73.6917878
"Wichita, KS",258,37.6922361,-97.3375448
"Baton Rouge, LA",255,30.4459596,-91.18738
"Fayetteville-Springdale-Rogers, AR-MO",253,38.7604815,-92.5617875
"Scranton--Wilkes-Barre--Hazleton, PA",249,40.9646867,-75.9852789
"Fresno, CA",246,36.7295295,-119.708861260756
"Appleton, WI",242,44.2611337,-88.4067604
"Albuquerque, NM",238,35.0841034,-106.6509851
"Harrisburg-Carlisle, PA",236,40.201824,-77.1893888
"New Orleans-Metairie, LA",234,30.001852,-90.1767149159888
"El Paso, TX",234,31.7600372,-106.487287
"Binghamton, NY",231,42.096968,-75.914341
"Richmond, VA",230,37.5385087,-77.43428
"Jacksonville, FL",227,30.3321838,-81.655651
"Danville, IL",226,40.125222,-87.6304614
"Decatur, AL",225,34.6617845,-87.0925170157593
"Spokane-Spokane Valley, WA",225,47.6691967,-117.1966687
"Springfield, MA",219,42.1014831,-72.589811
"Sioux Falls, SD",214,43.5499749,-96.700327
"Provo-Orem, UT",213,40.2971825,-111.694943
"Jackson, TN",212,35.6144446,-88.8177418
"Santa Rosa, CA",211,49.26334935,-123.10250585
"Fargo, ND-MN",211,45.9896587,-94.6113288
"Fayetteville, NC",209,35.0525759,-78.878292
"Modesto, CA",209,37.6390972,-120.9968782
"Joplin, MO",206,37.0842271,-94.513281
"Sheboygan, WI",204,43.7508284,-87.71453
"North Port-Sarasota-Bradenton, FL",204,27.4989278,-82.5748194
"Peoria, IL",200,40.6938609,-89.5891008
"Bloomington, IL",199,40.4731073,-88.9941403
"Fort Collins, CO",199,40.5508527,-105.0668085
"Stockton-Lodi, CA",198,45.2232055,-75.0073385
"Champaign-Urbana, IL",196,40.1117174,-88.207301
"Florence, SC",195,34.1984435,-79.7671658
"Muncie, IN",192,40.1936683,-85.3865114
